filename,tempo,spec_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,genre
[iSongs.info] 01 - Inkem Inkem Inkem Kaavaale - Copy.mp3,135.99917763157896,1989.356729897142,-143.4923095703125,107.59735107421875,26.86891746520996,16.46124267578125,8.199188232421875,-2.840471029281616,-6.241574287414551,3.0017945766448975,-3.4948174953460693,3.1695961952209473,-10.843655586242676,-0.13177886605262756,1.4500828981399536,0.2067519873380661,0.1837761402130127,0.24250465631484985,0.22679799795150757,0.33670949935913086,0.2216050922870636,0.3287515640258789,0.28873077034950256,0.23199544847011566,0.34641268849372864,0.2592972218990326,0.4252181053161621,Melody
[iSongs.info] 01 - Manasu Maree.mp3,117.45383522727273,1112.097480296718,-236.17417907714844,148.4449920654297,1.6824311017990112,-10.861720085144043,-8.211562156677246,3.801872730255127,7.656286239624023,4.225520133972168,-16.82096290588379,-10.376079559326172,4.889225482940674,18.1348934173584,6.902932643890381,0.20666895806789398,0.5918828845024109,0.1799064576625824,0.1937469244003296,0.2709304690361023,0.15626336634159088,0.2425469011068344,0.11990156769752502,0.12288082391023636,0.053282976150512695,0.07500623911619186,0.2047959864139557,Melody
[iSongs.info] 01 - Nee Kannu Neeli Samudram.mp3,92.28515625,1904.008820500302,-111.08386993408203,107.54251861572266,-2.395362615585327,8.640032768249512,1.9194188117980957,5.585394859313965,-8.517614364624023,4.740403652191162,-7.207061290740967,6.363134384155273,-4.229059219360352,-4.8576765060424805,-7.76318883895874,0.335074782371521,0.16000419855117798,0.15177972614765167,0.11736156046390533,0.22149261832237244,0.4305279552936554,0.2422606498003006,0.27671629190444946,0.23434258997440338,0.4011039137840271,0.26772770285606384,0.19551578164100647,Melody
[iSongs.info] 01 - Pranam.mp3,86.1328125,1283.3450471129875,-351.30712890625,127.47882080078125,28.080270767211914,21.065183639526367,-3.555651903152466,-0.0010657531674951315,-10.42916202545166,-10.030745506286621,-1.771789312362671,3.814852476119995,3.2194325923919678,6.600568771362305,-5.522562026977539,0.06981412321329117,0.1307142674922943,0.2883467376232147,0.13760802149772644,0.26682722568511963,0.5193672776222229,0.18138554692268372,0.1611473262310028,0.16340447962284088,0.4467126131057739,0.2423102855682373,0.09032103419303894,Melody
[iSongs.info] 01 - Samajavaragamana.mp3,107.666015625,1210.2422545652587,-163.18304443359375,170.60671997070312,6.2764410972595215,-7.219517230987549,10.391412734985352,-15.580513954162598,-7.566403865814209,-10.224883079528809,-17.437864303588867,2.8490004539489746,-5.385230541229248,-5.780367374420166,-4.858056545257568,0.1818896383047104,0.22485731542110443,0.12494326382875443,0.20967428386211395,0.14804090559482574,0.30142486095428467,0.12108821421861649,0.16208985447883606,0.40041717886924744,0.28642669320106506,0.4889450669288635,0.1841123104095459,Melody
[iSongs.info] 02 - Priyathama Priyathama.mp3,129.19921875,2062.5625377910806,-211.14596557617188,101.4571762084961,13.055225372314453,-20.797359466552734,-6.537789821624756,-12.269108772277832,-10.463767051696777,-7.48457670211792,-18.982038497924805,-9.552656173706055,-15.3004150390625,-5.87905740737915,-3.7450921535491943,0.649326741695404,0.22786615788936615,0.2341315895318985,0.19010785222053528,0.11612486839294434,0.16854611039161682,0.19515223801136017,0.46338126063346863,0.19721584022045135,0.1266954392194748,0.2345794141292572,0.23599883913993835,Melody
[iSongs.info] 03 - Yenti Yenti.mp3,151.99908088235293,1082.222341063709,-258.7889404296875,109.67224884033203,47.21902847290039,30.26529312133789,23.580373764038086,11.62276840209961,7.588439464569092,1.7242435216903687,-0.8887746930122375,-2.084871530532837,-3.2476212978363037,-1.1851619482040405,-3.17763090133667,0.3177867531776428,0.41880539059638977,0.5784104466438293,0.546653151512146,0.5689643621444702,0.43991619348526,0.519201397895813,0.35906654596328735,0.3055437505245209,0.4195316731929779,0.2972661554813385,0.25708913803100586,Melody
[iSongs.info] 01 - Adivo Alladivo.mp3,172.265625,1864.3258972120368,-221.40785217285156,99.37324523925781,-45.722999572753906,5.466527938842773,-10.171881675720215,-2.5099592208862305,-5.707821846008301,6.5796942710876465,-18.545223236083984,6.937058448791504,4.579758167266846,7.88681173324585,4.267899990081787,0.21019449830055237,0.33526742458343506,0.22108440101146698,0.3763744831085205,0.1883450597524643,0.1756996512413025,0.3166455626487732,0.18503054976463318,0.28387710452079773,0.12780383229255676,0.14425575733184814,0.21443518996238708,Devotional
[iSongs.info] 02 - Ayyapa Swamiki Vandnam.mp3,95.703125,1246.2757367811785,-134.34217834472656,170.4731903076172,-30.940549850463867,-15.916800498962402,4.297466278076172,-5.511743545532227,-9.922765731811523,6.889045238494873,-0.22616548836231232,6.873707294464111,-2.145798683166504,3.5454599857330322,-1.809452772140503,0.2621192932128906,0.2533653676509857,0.22887465357780457,0.22638851404190063,0.35245442390441895,0.2468646913766861,0.3140810430049896,0.16513580083847046,0.22031621634960175,0.2740955948829651,0.2673349380493164,0.5047863125801086,Devotional
[iSongs.info] 03 - Bhavamulona Bahya.mp3,89.10290948275862,1624.0089688726428,-251.3109588623047,113.88623809814453,-21.03384017944336,5.071937561035156,-1.704668402671814,-1.4648009538650513,-2.0403473377227783,7.510647773742676,-9.985883712768555,1.392600417137146,-13.438766479492188,4.477419853210449,-0.10648820549249649,0.19441229104995728,0.508233904838562,0.17429742217063904,0.08271182328462601,0.22590452432632446,0.14180046319961548,0.12314435839653015,0.09913061559200287,0.2486494779586792,0.102437824010849,0.07645861804485321,0.22881855070590973,Devotional
